"date","value","topic","variable_short","variable_long","location","unit","source","update","public","description"
2020-03-28,17500,"Bildung","usage_wiki_fernlernen","Nutzung des Wiki Fernlernen","global","Anzahl Aufrufe","Kanton Zürich, Volksschulamt","monatlich","Ja","https://bildungsmonitoringzh.github.io/covid19_edu_vsa/"
2020-03-29,23560,"Bildung","usage_wiki_fernlernen","Nutzung des Wiki Fernlernen","global","Anzahl Aufrufe","Kanton Zürich, Volksschulamt","monatlich","Ja","https://bildungsmonitoringzh.github.io/covid19_edu_vsa/"
2020-03-30,53344,"Bildung","usage_wiki_fernlernen","Nutzung des Wiki Fernlernen","global","Anzahl Aufrufe","Kanton Zürich, Volksschulamt","monatlich","Ja","https://bildungsmonitoringzh.github.io/covid19_edu_vsa/"
2020-03-31,76587,"Bildung","usage_wiki_fernlernen","Nutzung des Wiki Fernlernen","global","Anzahl Aufrufe","Kanton Zürich, Volksschulamt","monatlich","Ja","https://bildungsmonitoringzh.github.io/covid19_edu_vsa/"
2020-04-01,71703,"Bildung","usage_wiki_fernlernen","Nutzung des Wiki Fernlernen","global","Anzahl Aufrufe","Kanton Zürich, Volksschulamt","monatlich","Ja","https://bildungsmonitoringzh.github.io/covid19_edu_vsa/"
2020-04-02,58507,"Bildung","usage_wiki_fernlernen","Nutzung des Wiki Fernlernen","global","Anzahl Aufrufe","Kanton Zürich, Volksschulamt","monatlich","Ja","https://bildungsmonitoringzh.github.io/covid19_edu_vsa/"
2020-04-03,38941,"Bildung","usage_wiki_fernlernen","Nutzung des Wiki Fernlernen","global","Anzahl Aufrufe","Kanton Zürich, Volksschulamt","monatlich","Ja","https://bildungsmonitoringzh.github.io/covid19_edu_vsa/"
2020-04-04,23256,"Bildung","usage_wiki_fernlernen","Nutzung des Wiki Fernlernen","global","Anzahl Aufrufe","Kanton Zürich, Volksschulamt","monatlich","Ja","https://bildungsmonitoringzh.github.io/covid19_edu_vsa/"
2020-04-05,23619,"Bildung","usage_wiki_fernlernen","Nutzung des Wiki Fernlernen","global","Anzahl Aufrufe","Kanton Zürich, Volksschulamt","monatlich","Ja","https://bildungsmonitoringzh.github.io/covid19_edu_vsa/"
2020-04-06,37552,"Bildung","usage_wiki_fernlernen","Nutzung des Wiki Fernlernen","global","Anzahl Aufrufe","Kanton Zürich, Volksschulamt","monatlich","Ja","https://bildungsmonitoringzh.github.io/covid19_edu_vsa/"
2020-04-07,33566,"Bildung","usage_wiki_fernlernen","Nutzung des Wiki Fernlernen","global","Anzahl Aufrufe","Kanton Zürich, Volksschulamt","monatlich","Ja","https://bildungsmonitoringzh.github.io/covid19_edu_vsa/"
2020-04-08,23482,"Bildung","usage_wiki_fernlernen","Nutzung des Wiki Fernlernen","global","Anzahl Aufrufe","Kanton Zürich, Volksschulamt","monatlich","Ja","https://bildungsmonitoringzh.github.io/covid19_edu_vsa/"
2020-04-09,20615,"Bildung","usage_wiki_fernlernen","Nutzung des Wiki Fernlernen","global","Anzahl Aufrufe","Kanton Zürich, Volksschulamt","monatlich","Ja","https://bildungsmonitoringzh.github.io/covid19_edu_vsa/"
2020-04-10,13770,"Bildung","usage_wiki_fernlernen","Nutzung des Wiki Fernlernen","global","Anzahl Aufrufe","Kanton Zürich, Volksschulamt","monatlich","Ja","https://bildungsmonitoringzh.github.io/covid19_edu_vsa/"
2020-04-11,10128,"Bildung","usage_wiki_fernlernen","Nutzung des Wiki Fernlernen","global","Anzahl Aufrufe","Kanton Zürich, Volksschulamt","monatlich","Ja","https://bildungsmonitoringzh.github.io/covid19_edu_vsa/"
2020-04-12,10307,"Bildung","usage_wiki_fernlernen","Nutzung des Wiki Fernlernen","global","Anzahl Aufrufe","Kanton Zürich, Volksschulamt","monatlich","Ja","https://bildungsmonitoringzh.github.io/covid19_edu_vsa/"
2020-04-13,13503,"Bildung","usage_wiki_fernlernen","Nutzung des Wiki Fernlernen","global","Anzahl Aufrufe","Kanton Zürich, Volksschulamt","monatlich","Ja","https://bildungsmonitoringzh.github.io/covid19_edu_vsa/"
2020-04-14,20706,"Bildung","usage_wiki_fernlernen","Nutzung des Wiki Fernlernen","global","Anzahl Aufrufe","Kanton Zürich, Volksschulamt","monatlich","Ja","https://bildungsmonitoringzh.github.io/covid19_edu_vsa/"
2020-04-15,20795,"Bildung","usage_wiki_fernlernen","Nutzung des Wiki Fernlernen","global","Anzahl Aufrufe","Kanton Zürich, Volksschulamt","monatlich","Ja","https://bildungsmonitoringzh.github.io/covid19_edu_vsa/"
2020-04-16,21491,"Bildung","usage_wiki_fernlernen","Nutzung des Wiki Fernlernen","global","Anzahl Aufrufe","Kanton Zürich, Volksschulamt","monatlich","Ja","https://bildungsmonitoringzh.github.io/covid19_edu_vsa/"
2020-04-17,20863,"Bildung","usage_wiki_fernlernen","Nutzung des Wiki Fernlernen","global","Anzahl Aufrufe","Kanton Zürich, Volksschulamt","monatlich","Ja","https://bildungsmonitoringzh.github.io/covid19_edu_vsa/"
2020-04-18,12871,"Bildung","usage_wiki_fernlernen","Nutzung des Wiki Fernlernen","global","Anzahl Aufrufe","Kanton Zürich, Volksschulamt","monatlich","Ja","https://bildungsmonitoringzh.github.io/covid19_edu_vsa/"
2020-04-19,14221,"Bildung","usage_wiki_fernlernen","Nutzung des Wiki Fernlernen","global","Anzahl Aufrufe","Kanton Zürich, Volksschulamt","monatlich","Ja","https://bildungsmonitoringzh.github.io/covid19_edu_vsa/"
2020-04-20,21285,"Bildung","usage_wiki_fernlernen","Nutzung des Wiki Fernlernen","global","Anzahl Aufrufe","Kanton Zürich, Volksschulamt","monatlich","Ja","https://bildungsmonitoringzh.github.io/covid19_edu_vsa/"
2020-04-21,21602,"Bildung","usage_wiki_fernlernen","Nutzung des Wiki Fernlernen","global","Anzahl Aufrufe","Kanton Zürich, Volksschulamt","monatlich","Ja","https://bildungsmonitoringzh.github.io/covid19_edu_vsa/"
2020-04-22,23780,"Bildung","usage_wiki_fernlernen","Nutzung des Wiki Fernlernen","global","Anzahl Aufrufe","Kanton Zürich, Volksschulamt","monatlich","Ja","https://bildungsmonitoringzh.github.io/covid19_edu_vsa/"
2020-04-23,24498,"Bildung","usage_wiki_fernlernen","Nutzung des Wiki Fernlernen","global","Anzahl Aufrufe","Kanton Zürich, Volksschulamt","monatlich","Ja","https://bildungsmonitoringzh.github.io/covid19_edu_vsa/"
2020-04-24,15872,"Bildung","usage_wiki_fernlernen","Nutzung des Wiki Fernlernen","global","Anzahl Aufrufe","Kanton Zürich, Volksschulamt","monatlich","Ja","https://bildungsmonitoringzh.github.io/covid19_edu_vsa/"
2020-04-25,13711,"Bildung","usage_wiki_fernlernen","Nutzung des Wiki Fernlernen","global","Anzahl Aufrufe","Kanton Zürich, Volksschulamt","monatlich","Ja","https://bildungsmonitoringzh.github.io/covid19_edu_vsa/"
2020-04-26,12642,"Bildung","usage_wiki_fernlernen","Nutzung des Wiki Fernlernen","global","Anzahl Aufrufe","Kanton Zürich, Volksschulamt","monatlich","Ja","https://bildungsmonitoringzh.github.io/covid19_edu_vsa/"
